"","state","state_iso","date","dts","bsn","exposure","excess","pscore"
"249","Amapá","AP",2021-01-10,88,63.8004222058348,16360.0658146515,24.1995777941652,1.37930121709997
"250","Amapá","AP",2021-01-17,108,64.3550898301165,16365.3900908685,43.6449101698835,1.67818894022363
"251","Amapá","AP",2021-01-24,83,65.1788306754682,16370.7127913036,17.8211693245318,1.27341959252484
"252","Amapá","AP",2021-01-31,77,66.2163944633678,16376.0340296756,10.7836055366322,1.16285401257536
"253","Amapá","AP",2021-02-07,91,67.4110014631777,16381.3539197031,23.5889985368223,1.34992802398444
"254","Amapá","AP",2021-02-14,70,68.7026198962306,16386.6725751049,1.29738010376937,1.01888399752046
"255","Amapá","AP",2021-02-21,78,70.030468233456,16391.9901095994,7.96953176654398,1.11380092076461
"256","Amapá","AP",2021-02-28,85,71.3568358190632,16397.3066369055,13.6431641809368,1.19119631671353
"257","Amapá","AP",2021-03-07,104,72.6538472293039,16402.6222707417,31.3461527706961,1.43144518791639
"258","Amapá","AP",2021-03-14,114,73.8917824436908,16407.9371248268,40.1082175563092,1.54279672556111
"259","Amapá","AP",2021-03-21,132,75.0391970988746,16413.2513128794,56.9608029011254,1.75908065522172
"260","Amapá","AP",2021-03-28,135,76.0646348852064,16418.5649486182,58.9353651147936,1.77480638937841
"261","Amapá","AP",2021-04-04,135,76.9570519126212,16423.8781457618,58.0429480873788,1.75422520282198
"262","Amapá","AP",2021-04-11,144,77.722405543316,16429.1910180289,66.277594456684,1.85274759566913
"263","Amapá","AP",2021-04-18,143,78.3681774134592,16434.5036791382,64.6318225865408,1.82472024640247
"264","Amapá","AP",2021-04-25,131,78.9028132788643,16439.8162428084,52.0971867211357,1.66027033202238
"265","Amapá","AP",2021-05-02,91,79.3352262388093,16445.128822758,11.6647737611907,1.14703145518333
"266","Amapá","AP",2021-05-09,114,79.6612995596161,16450.4415327057,34.3387004403839,1.43105875287266
"267","Amapá","AP",2021-05-16,89,79.8594539862738,16455.7544863704,9.14054601372615,1.11445790770492
